interval_start,demand,hot_water,air_con
2023-05-08 10:30,2.5153566666666656,-0.0009833333333328,0.4682733333333312
2023-05-08 10:35,1.7915199999999993,-0.0034399999999991998,0.38771999999999884
2023-05-08 10:40,1.441883333333334,-0.0038466666666660005,0.3374933333333316
2023-05-08 10:45,1.51902,-0.0027399999999996,0.403279999999998
2023-05-08 10:50,1.4714000000000003,-0.0009466666666656,0.4604266666666643
2023-05-08 11:35,2.1242199999999984,-0.002316666666666,0.21113666666666397
2023-05-08 12:40,0.9310166666666675,-0.0005366666666664,0.1261833333333312
2023-05-08 12:45,0.8135666666666677,-0.00038666666666640006,0.0720899999999976
2023-05-08 13:00,1.4521400000000002,-0.0002699999999988,0.059753333333331604
2023-05-08 13:25,0.7776966666666659,-0.0004899999999996,0.1144066666666656
2023-05-08 13:40,1.0593599999999999,-0.001146666666666,0.0680733333333312
2023-05-08 13:45,1.00257,-0.0014866666666656,0.2004399999999984
2023-05-08 13:50,0.9594133333333343,-0.0029833333333332,1.167656666666664
2023-05-08 14:10,0.7731400000000007,-0.0012966666666659999,0.7293333333333301
2023-05-08 14:15,1.1229133333333334,-0.0012199999999992,0.6700399999999992
2023-05-08 14:20,3.0378466666666655,-0.0017366666666664,0.6726099999999984
2023-05-08 14:25,2.8948966666666656,-0.0019199999999987998,0.5950233333333311
2023-05-08 14:30,0.8167400000000002,-0.0017933333333328,0.490716666666666
2023-05-08 14:35,2.8528666666666656,-0.0018033333333324002,0.4235799999999972
2023-05-08 14:40,1.7531400000000001,-0.0013166666666664,0.42984666666666477
2023-05-08 14:45,1.72176,-0.0011966666666664,0.437683333333332
2023-05-08 14:50,2.961346666666665,-0.0009633333333323999,0.41548999999999925
2023-05-08 14:55,1.0414866666666671,-0.0009233333333328,0.5384499999999984
2023-05-08 15:00,1.614136666666667,0.7813299999999996,0.461023333333332
2023-05-08 15:05,4.388509999999999,2.354783333333333,0.5059833333333323
2023-05-08 15:10,2.968193333333333,2.3302999999999994,0.6134166666666648
2023-05-08 15:15,3.537103333333332,2.3061499999999993,0.6231299999999976
2023-05-08 15:20,5.089309999999999,1.7808033333333324,0.48481666666666434
2023-05-08 15:25,5.964576666666666,-0.0011399999999988,0.6367099999999981
2023-05-08 15:30,3.305836666666666,-0.0008499999999996,0.4428833333333316
2023-05-08 15:35,1.6004699999999987,-0.0010299999999996,0.5452899999999984
2023-05-08 15:40,0.8097500000000004,-0.0008433333333324,0.4197499999999992
2023-05-08 15:55,0.72399,-0.0008433333333324,0.4074999999999984
2023-05-08 16:00,0.8135699999999988,-0.0012633333333324,0.6956766666666648
2023-05-08 16:05,0.7384433333333328,-0.0013766666666664,0.7684899999999983
2023-05-08 16:10,0.7211133333333324,-0.0010166666666663999,0.4905699999999984
2023-05-08 16:15,0.9349766666666665,2.264989999999999,0.6457966666666644
2023-05-08 16:20,1.0668733333333318,2.2767399999999998,1.080313333333332
2023-05-08 16:25,2.0088999999999997,2.3028233333333326,0.8752733333333327
2023-05-08 16:30,2.998326666666665,2.2986733333333333,0.3989333333333328
2023-05-08 16:35,0.9535966666666644,2.309316666666666,0.4149966666666648
2023-05-08 16:40,0.8790166666666657,2.2798666666666656,0.5035333333333321
2023-05-08 16:50,0.9196899999999983,2.314999999999999,0.4330266666666648
2023-05-08 17:00,0.8445399999999983,2.325186666666666,0.39518333333333155
2023-05-08 17:05,1.670663333333333,2.3395833333333322,0.39108333333333245
2023-05-08 17:10,2.6396900000000003,2.325046666666666,0.3929799999999984
2023-05-08 17:15,0.6868233333333323,0.6768,0.3756466666666656
2023-05-08 17:20,0.7272766666666668,-0.0009666666666660001,0.4032066666666648
2023-05-08 17:25,0.6642866666666664,-0.000996666666666,0.42418666666666566
2023-05-08 17:55,0.645233333333334,-0.0011133333333324,0.47212333333333195
2023-05-08 18:00,0.6428866666666668,-0.001176666666666,0.5060799999999984
2023-05-08 18:05,0.6758566666666668,-0.0010733333333328,0.5004699999999984
2023-05-08 18:10,0.6725866666666668,-0.0009666666666660001,0.473209999999998
2023-05-08 18:15,1.8073833333333336,-0.0010199999999988,0.47445666666666475
2023-05-08 18:20,3.4884033333333324,-0.0010833333333324,0.4633999999999968
2023-05-08 18:25,2.79054,-0.0011299999999992,0.4813266666666648
2023-05-08 18:30,2.796220000000001,-0.0011499999999996,0.5001099999999984
2023-05-08 18:35,2.8763166666666673,-0.0012199999999992,0.5595566666666639
2023-05-08 18:40,2.8604266666666667,-0.00093,0.44862999999999725
2023-05-08 18:45,1.7055166666666668,-0.0011666666666664,0.49955666666666515
2023-05-08 18:50,1.4765766666666673,-0.0010233333333323998,0.4640299999999992
2023-05-08 18:55,0.8279166666666673,-0.0013833333333324,0.6617066666666653
2023-05-08 19:00,0.7610433333333335,-0.0012333333333324,0.5599999999999979
2023-05-08 19:05,0.7474433333333328,-0.0010533333333324,0.43456999999999923
2023-05-08 19:10,0.9134600000000004,-0.0010299999999996,0.4345733333333316
2023-05-08 19:15,0.8664666666666659,-0.0010333333333332,0.4730099999999988
2023-05-08 19:20,0.7353799999999993,-0.0009799999999992,0.4984366666666644
2023-05-08 19:25,0.8889466666666654,-0.0009533333333328001,0.48513333333333125
2023-05-08 19:30,0.7300899999999996,-0.0010599999999996,0.4415166666666648
2023-05-08 19:35,0.6777033333333324,-0.0010666666666656,0.44071333333333074
2023-05-08 19:40,0.6970033333333332,-0.0010533333333324,0.44086333333333205
2023-05-08 19:45,0.8051933333333329,-0.001026666666666,0.43477999999999806
