interval_start,demand,solar,hot_water
2023-06-09 11:35:00,0.418069999999999,-3.835039999999999,-9.99999999996e-05
2023-06-09 11:40:00,0.428083333333334,-3.512323333333333,1.6666666665600002e-05
2023-06-09 11:45:00,0.3736600000000009,-2.73649,0.0001566666666659
2023-06-09 11:50:00,0.32182,-3.796183333333332,0.000426666666666
2023-06-09 11:55:00,0.1837799999999989,-3.7529699999999986,0.0002299999999991
2023-06-09 12:00:00,0.2102166666666662,-3.622229999999999,0.0002799999999996
2023-06-09 12:05:00,0.3541733333333341,-3.739303333333333,0.000456666666666
2023-06-09 12:10:00,0.4056366666666662,-3.7160133333333327,0.0005499999999996
2023-06-09 12:15:00,0.3116999999999996,-3.71091,0.0004666666666656
2023-06-09 12:20:00,0.3114166666666658,-3.690063333333333,0.0004699999999992
2023-06-09 12:25:00,0.3105000000000004,-3.643136666666667,0.0004699999999992
2023-06-09 12:30:00,0.4052699999999998,-3.5886199999999993,0.0005499999999996
2023-06-09 12:35:00,0.4775833333333332,-3.556439999999999,0.0007066666666656
2023-06-09 12:40:00,0.5149433333333329,-3.54667,0.0007933333333331
2023-06-09 12:45:00,0.865716666666666,-3.508669999999999,0.00141
2023-06-09 12:50:00,1.15173,-3.4648766666666666,0.0019166666666664
2023-06-09 12:55:00,0.4894700000000002,-3.4345966666666667,0.0006933333333324
2023-06-09 13:00:00,0.5232699999999998,-3.388649999999999,0.0005699999999988
2023-06-09 13:05:00,0.39285,-3.3543266666666662,0.0005199999999996
2023-06-09 13:10:00,0.3759433333333328,-3.3240699999999994,0.0005233333333332
2023-06-09 13:15:00,0.4326233333333341,-3.2838866666666666,0.0006199999999992
2023-06-09 13:20:00,0.3625066666666667,-3.2502933333333326,0.0004833333333324
2023-06-09 13:25:00,0.3537399999999999,-3.188363333333333,0.0004733333333328
2023-06-09 13:30:00,0.3177300000000012,-3.12831,0.0004033333333332
2023-06-09 13:35:00,0.3188866666666667,-3.0677166666666658,0.0004033333333332
2023-06-09 13:40:00,0.3175066666666667,-2.9994866666666664,0.000396666666666
2023-06-09 13:45:00,0.3167366666666666,-2.9410299999999996,0.0003999999999996
2023-06-09 13:50:00,0.4496233333333332,-2.8935733333333333,0.0005499999999996
2023-06-09 13:55:00,0.4265766666666661,-2.830336666666666,0.0005533333333332
2023-06-09 14:00:00,1.2473133333333335,-2.7569199999999996,0.0020566666666656
2023-06-09 14:05:00,1.2611066666666664,-2.6805466666666655,0.0021
2023-06-09 14:10:00,0.7616733333333325,-2.6204866666666655,0.001206666666666
2023-06-09 14:15:00,0.4526399999999997,-2.544546666666666,0.0006533333333328
2023-06-09 14:20:00,0.4205433333333326,-2.477149999999999,0.000606666666666
2023-06-09 14:25:00,0.4545266666666664,-2.4034999999999993,0.000666666666666
2023-06-09 14:30:00,0.489906666666666,-2.309843333333333,0.0007366666666656
2023-06-09 14:35:00,0.4142766666666658,-2.229196666666666,0.0005999999999988
2023-06-09 14:40:00,0.5013500000000004,-2.1475899999999997,0.0006933333333324
2023-06-09 14:45:00,0.4652333333333339,-1.860833333333333,0.0006899999999988
2023-06-09 14:50:00,0.3291666666666671,-1.952376666666666,0.0005599999999992
2023-06-09 14:55:00,0.2362333333333331,-1.782799999999999,0.000396666666666
2023-06-09 15:00:00,0.2409700000000007,-1.69314,0.0004066666666656
2023-06-09 15:05:00,0.2345999999999999,-1.5408333333333324,0.0004066666666656
2023-06-09 15:10:00,0.2345933333333339,-1.2071499999999995,0.0004099999999992
2023-06-09 15:15:00,0.2868399999999996,-1.3472033333333329,0.0004199999999999
2023-06-09 15:20:00,0.2202299999999999,-1.1236733333333329,0.0003599999999988
2023-06-09 15:25:00,0.2199233333333329,-1.1090633333333328,0.0003899999999999
2023-06-09 15:30:00,0.255803333333334,-0.9224199999999996,0.0004633333333332
2023-06-09 15:35:00,0.2829099999999995,-0.7444966666666656,0.0005199999999996
2023-06-09 15:40:00,0.3048833333333339,-0.7476133333333332,0.0005633333333328
2023-06-09 15:45:00,0.2993799999999996,-0.6180599999999987,0.0005599999999992
2023-06-09 15:50:00,0.2960966666666664,-0.5751999999999996,0.0005533333333332
2023-06-09 15:55:00,0.2898666666666671,-0.3630399999999996,0.0005533333333332
2023-06-09 16:00:00,0.211746666666666,-0.1880399999999999,0.000396666666666
2023-06-09 16:05:00,0.2436899999999988,-0.1598399999999988,0.0003833333333328
2023-06-09 16:10:00,0.2424099999999996,-0.1296266666666664,0.0003899999999999
2023-06-09 16:15:00,0.16563,-0.0983399999999999,0.0003133333333332
2023-06-09 16:20:00,0.1869033333333312,-0.0870033333333324,0.0003433333333332
2023-06-09 16:25:00,0.2078033333333316,-0.0730966666666656,0.0003633333333324
2023-06-09 16:30:00,0.1853966666666663,-0.0597266666666664,0.0003433333333332
2023-06-09 16:35:00,0.2152566666666648,-0.0445499999999988,0.0004066666666656
2023-06-09 16:40:00,0.2150133333333324,-0.0292466666666664,0.0004066666666656
2023-06-09 16:45:00,0.177553333333332,-0.0156533333333328,0.0003399999999996
2023-06-09 16:50:00,0.1826866666666655,-0.0046833333333324,0.0003533333333328
2023-06-09 16:55:00,0.2361199999999992,0.0044233333333332,0.0004033333333332
2023-06-09 17:00:00,0.347273333333334,0.0109499999999988,0.0005599999999992
2023-06-09 17:05:00,0.27921,0.0132266666666664,0.0005099999999988
2023-06-09 17:10:00,0.2915033333333328,0.0129433333333332,0.0005199999999996
2023-06-09 17:15:00,0.340266666666666,0.0097733333333328,0.0006099999999996
