interval_start,demand,hot_water
2023-05-12 16:20,1.5179899999999993,0.0022266666666659997
2023-05-12 16:25,0.8522633333333328,0.0010633333333332
2023-05-12 16:30,1.34661,0.002136666666666
2023-05-12 16:35,0.8059733333333328,0.0012466666666656
2023-05-12 16:40,0.5286699999999996,0.0007933333333331999
2023-05-12 16:45,0.5049833333333328,0.00075
2023-05-12 16:50,0.7180699999999992,0.0011199999999996
2023-05-12 16:55,0.6919666666666656,0.0010933333333332002
2023-05-12 17:00,0.41009999999999996,0.0006099999999996
2023-05-12 17:05,0.588336666666666,0.0009066666666660001
2023-05-12 17:10,0.5969233333333333,0.0009233333333328
2023-05-12 17:15,0.5912733333333324,0.0009266666666664001
2023-05-12 17:20,0.7278199999999991,0.0011633333333328
2023-05-12 17:25,0.8074066666666655,0.0013033333333331999
2023-05-12 17:30,0.7930266666666659,0.0012699999999996
2023-05-12 17:35,0.9739633333333333,0.0015833333333328
2023-05-12 17:40,3.9895266666666656,0.0065499999999995995
2023-05-12 17:45,3.53889,0.0058133333333328
2023-05-12 17:50,4.157649999999999,0.0068299999999992
2023-05-12 17:55,4.036856666666666,0.0066366666666660004
2023-05-12 18:00,4.002026666666667,0.0065866666666656
2023-05-12 18:05,4.147733333333333,0.0068366666666664
2023-05-12 18:10,4.0230999999999995,0.0066199999999991994
2023-05-12 18:15,3.996809999999999,0.0065899999999992
2023-05-12 18:20,3.201223333333333,0.005269999999999201
2023-05-12 18:25,0.8578766666666664,0.0013966666666656
2023-05-12 18:30,0.8709433333333332,0.0014299999999992
2023-05-12 18:35,0.8848533333333324,0.0014599999999992
2023-05-12 18:40,0.9255933333333324,0.0015233333333328
2023-05-12 18:45,0.8756833333333331,0.0014433333333324
2023-05-12 18:50,0.8324666666666664,0.0013633333333332
2023-05-12 18:55,0.9207399999999997,0.0015233333333328
2023-05-12 19:00,0.5986633333333332,0.0009599999999988
2023-05-12 19:05,0.8946066666666659,0.00147
2023-05-12 19:10,0.8590033333333331,0.0014199999999996
2023-05-12 19:15,0.8607933333333324,0.0014199999999996
2023-05-12 19:20,0.8824166666666664,0.0014633333333328
2023-05-12 19:25,0.8219833333333331,0.0013699999999992
2023-05-12 19:30,0.762396666666666,0.0012433333333332
2023-05-12 19:35,0.8154733333333333,0.0013433333333327999
2023-05-12 19:40,0.7851466666666655,0.0012799999999992
2023-05-12 19:45,0.7832233333333332,0.0012699999999996
2023-05-12 19:50,0.8051199999999996,0.0013133333333328
2023-05-12 19:55,0.8124333333333323,0.0013333333333332
2023-05-12 20:00,0.8616599999999999,0.0014299999999992
2023-05-12 20:05,0.9909699999999996,0.0016533333333324
2023-05-12 20:10,0.8499300000000001,0.0014066666666664
2023-05-12 20:15,0.8400933333333324,0.0013899999999995999
2023-05-12 20:20,0.815076666666666,0.00135
2023-05-12 20:25,0.9012299999999989,0.0015099999999996002
2023-05-12 20:30,3.2919899999999997,0.0055499999999988
2023-05-12 20:35,3.29119,0.0055466666666664
2023-05-12 20:40,0.9393166666666656,0.0015733333333332001
2023-05-12 20:45,1.048249999999999,0.0017599999999992001
2023-05-12 20:50,3.2549866666666665,0.0055133333333328
2023-05-12 20:55,4.097289999999999,0.00693
2023-05-12 21:00,4.039199999999999,0.0068333333333328
2023-05-12 21:05,3.950453333333333,0.0066799999999992005
2023-05-12 21:10,6.191459999999999,2.3005433333333327
2023-05-12 21:15,6.796133333333334,4.042726666666667
2023-05-12 21:20,4.957886666666666,4.125423333333332
2023-05-12 21:25,3.942739999999999,3.162013333333333
2023-05-12 21:30,0.33779333333333283,0.0004699999999992
2023-05-12 21:35,0.1986866666666664,0.0002533333333332
2023-05-12 21:40,0.19185333333333243,0.0002366666666664
2023-05-12 21:45,0.169266666666666,0.00019666666666559997
2023-05-12 21:50,0.11127333333333239,0.00010333333333320001
2023-05-12 21:55,0.1610066666666664,0.0001899999999996
2023-05-12 22:00,0.1874833333333332,0.0002399999999988
2023-05-12 22:05,0.1531699999999992,0.0001766666666664
2023-05-12 22:10,0.1273933333333332,0.0001366666666656
2023-05-12 22:15,0.11994999999999958,0.0001099999999992
2023-05-12 22:20,0.11050666666666559,9.99999999996e-05
2023-05-12 22:25,0.1112966666666664,0.0001099999999992
2023-05-12 22:30,0.12471666666666599,0.0001299999999996
2023-05-12 22:35,0.2164466666666664,0.0002866666666656
2023-05-12 22:40,0.2768899999999992,0.000396666666666
2023-05-12 22:45,0.23067,0.0003099999999996
2023-05-12 22:50,0.1941999999999996,0.0002399999999988
2023-05-12 22:55,0.24639333333333238,0.0003299999999988
2023-05-12 23:00,0.2132733333333324,0.0002799999999996
2023-05-12 23:05,0.1635433333333332,0.000186666666666
2023-05-12 23:10,0.16205999999999998,0.00018333333333239997
2023-05-12 23:15,0.1199399999999988,0.0001099999999992
2023-05-12 23:20,0.1620733333333332,0.000186666666666
2023-05-12 23:25,0.1476099999999996,0.0001666666666656
2023-05-12 23:30,0.09707333333333279,6.99999999996e-05
2023-05-12 23:35,2.3692699999999993,0.0039333333333324005
2023-05-12 23:40,2.3075066666666664,0.0038233333333331995
2023-05-12 23:45,0.09996666666666601,6.99999999996e-05
2023-05-12 23:50,0.1147733333333328,9.99999999996e-05
2023-05-12 23:55,0.1920533333333328,0.0002333333333328
2023-05-13 00:00,0.2553233333333328,0.0003499999999992
2023-05-13 00:05,0.24036999999999958,0.0003166666666656
2023-05-13 00:10,0.1860999999999996,0.00021666666666599998
2023-05-13 00:15,0.1474299999999996,0.0001533333333324
2023-05-13 00:20,0.0949999999999992,6.6666666666e-05
