interval_start,demand,air_con
2023-03-13 15:25,0.1585133333333328,0.0052099999999992
2023-03-13 15:30,0.10186666666666559,0.0051266666666664
2023-03-13 15:35,0.0167966666666664,0.0050333333333328
2023-03-13 15:40,0.0167899999999992,0.0050666666666664
2023-03-13 15:45,0.0165999999999996,0.0050733333333324
2023-03-13 15:50,0.0164833333333332,0.0050699999999988
2023-03-13 15:55,0.4240466666666664,0.0051266666666664
2023-03-13 16:00,0.13907999999999998,0.005136666666666
2023-03-13 16:05,0.1575699999999996,0.0051099999999996
2023-03-13 16:10,0.1561166666666664,0.0050866666666655996
2023-03-13 16:15,0.0195033333333324,0.0050599999999992
2023-03-13 16:20,0.0193099999999992,0.0050266666666656
2023-03-13 16:25,0.049723333333333196,0.0050599999999992
2023-03-13 16:30,0.052963333333333196,0.0050933333333328
2023-03-13 16:35,0.05279999999999879,0.0051099999999996
2023-03-13 16:40,0.12271666666666561,0.0050999999999999995
2023-03-13 16:45,0.1936399999999992,0.0051166666666656
2023-03-13 16:50,0.192906666666666,0.0050999999999999995
2023-03-13 16:55,0.13665,0.0050933333333328
2023-03-13 17:00,0.4483466666666664,0.0051166666666656
2023-03-13 17:05,0.6199966666666656,0.0051166666666656
2023-03-13 17:10,1.4288233333333331,0.0052666666666656
2023-03-13 17:15,0.22733333333333278,0.0050866666666655996
2023-03-13 17:20,0.2890799999999988,0.0050633333333328
2023-03-13 17:25,0.4353899999999988,0.0050699999999988
2023-03-13 17:30,0.8423866666666655,0.0051233333333328005
2023-03-13 17:35,1.0020933333333324,0.005136666666666
2023-03-13 17:40,0.32292666666666603,0.0050366666666664
2023-03-13 17:45,0.3230533333333332,0.0050399999999988
2023-03-13 17:50,0.3244466666666664,0.0050633333333328
2023-03-13 17:55,1.5168866666666663,0.0052399999999992
2023-03-13 18:00,1.8659066666666664,0.0053099999999988
2023-03-13 18:05,1.559166666666666,0.0052533333333324005
2023-03-13 18:10,1.5862533333333326,0.0052599999999996
2023-03-13 18:15,1.7914699999999995,0.0053233333333332
2023-03-13 18:20,2.3153999999999986,0.0054
2023-03-13 18:25,1.8751966666666657,0.0053233333333332
2023-03-13 18:30,1.9599466666666656,0.0053499999999996
2023-03-13 18:35,2.076483333333332,0.0053366666666663995
2023-03-13 18:40,1.7658799999999992,0.0053166666666660005
2023-03-13 18:45,1.7854533333333324,0.0052933333333331995
2023-03-13 18:50,1.9922966666666664,0.005339999999999999
2023-03-13 18:55,2.033833333333333,0.005376666666666
2023-03-13 19:00,0.8198433333333324,0.0052033333333332005
2023-03-13 19:05,0.18380333333333282,0.0051266666666664
2023-03-13 19:10,0.1744066666666656,0.005136666666666
2023-03-13 19:15,0.6882033333333324,0.0051399999999996
2023-03-13 19:20,0.40993666666666556,0.0050999999999999995
2023-03-13 19:25,0.0705533333333328,0.0050399999999988
2023-03-13 19:30,0.1764266666666664,0.0050366666666664
2023-03-13 19:35,0.20349999999999963,0.0050499999999996
2023-03-13 19:40,0.2001,0.0050699999999988
2023-03-13 19:45,0.4995566666666664,0.005136666666666
2023-03-13 19:50,0.0869333333333328,0.0051133333333332
2023-03-13 19:55,0.0884333333333328,0.0050999999999999995
2023-03-13 20:00,0.0846433333333332,0.0050966666666664
2023-03-13 20:05,0.0818033333333328,0.0051133333333332
2023-03-13 20:10,0.1212,0.0051166666666656
2023-03-13 20:15,0.2141066666666664,0.0051233333333328005
2023-03-13 20:20,0.2122599999999996,0.005136666666666
2023-03-13 20:25,0.6264399999999997,0.0051633333333324
2023-03-13 20:30,0.1470933333333324,0.0051033333333324
2023-03-13 20:35,2.1529433333333325,0.0054099999999996
2023-03-13 20:40,1.5667266666666662,0.0053199999999996
2023-03-13 20:45,0.7580599999999992,0.0052466666666664
2023-03-13 20:50,0.138426666666666,0.0051566666666664
2023-03-13 20:55,0.2792933333333328,0.0051699999999996
2023-03-13 21:00,0.2835933333333324,0.0051733333333332
2023-03-13 21:05,0.273666666666666,0.00516
2023-03-13 21:10,0.538506666666666,0.0052099999999992
2023-03-13 21:15,0.1411033333333332,0.005146666666665601
2023-03-13 21:20,0.143496666666666,0.0051433333333331995
2023-03-13 21:25,0.141696666666666,0.0051499999999992
2023-03-13 21:30,0.14304999999999962,0.0051533333333328
2023-03-13 21:35,0.2647033333333332,0.0051766666666656
2023-03-13 21:40,0.2624566666666656,0.0051866666666664
2023-03-13 21:45,0.6345166666666656,0.0052433333333328
2023-03-13 21:50,0.1654133333333328,0.0051999999999996
2023-03-13 21:55,0.1098099999999996,0.0051833333333328
2023-03-13 22:00,0.1083266666666664,0.0051633333333324
2023-03-13 22:05,0.11004,0.0051733333333332
2023-03-13 22:10,0.111306666666666,0.0051433333333331995
2023-03-13 22:15,0.132756666666666,0.0051566666666664
2023-03-13 22:20,0.65682,0.0052433333333328
2023-03-13 22:25,0.2506533333333324,0.0051266666666664
2023-03-13 22:30,0.2147899999999992,0.0050933333333328
2023-03-13 22:35,0.1089099999999996,0.0050866666666655996
2023-03-13 22:40,0.10652333333333279,0.0050866666666655996
2023-03-13 22:45,0.1064099999999988,0.0050866666666655996
2023-03-13 22:50,0.0495166666666656,0.0050933333333328
2023-03-13 22:55,0.0404933333333328,0.0050933333333328
2023-03-13 23:00,0.1418499999999996,0.0050799999999996005
2023-03-13 23:05,0.5678533333333332,0.00513
2023-03-13 23:10,0.1800533333333328,0.0050799999999996005
2023-03-13 23:15,0.0634433333333328,0.005076666666666001
2023-03-13 23:20,0.014339999999998798,0.0050533333333332
2023-03-13 23:25,0.0114099999999996,0.0050966666666664
